sta_code_h3;sta_label;sta_label_add;sta_type;sta_test_station;sta_monitor;sta_code_h2;sta_code_child;sta_code_parent;sta_comment;sta_city;sta_crs;sta_epsg;sta_kp;sta_altitude_staff_gauge;sta_date_altitude_ref;sta_date_start;sta_date_end;sta_publication_right;sta_time_data_gap;sta_time_discontinuity;sta_impact_local;sta_display_level;sta_dual_staff_gauge;sta_qual_lowflow;sta_qual_meanflow;sta_qual_highflow;sta_purpose;sta_comment_impact_local;sta_date_update;sit_code_h3;sta_main_prod_name;sta_main_prod_name_short;sta_main_prod_code;sta_x_l2e;sta_y_l2e;sta_x_l93;sta_y_l93;sta_x_w84;sta_y_w84;sta_x_l2e_snap;sta_y_l2e_snap;sta_x_l93_snap;sta_y_l93_snap;sta_x_w84_snap;sta_y_w84_snap;sta_area_snap;sta_altitude_snap;sta_territory
A234021001;La Liepvrette à Lièpvre;NA;Standard station;FALSE;TRUE;A2332110;NA;NA;Station modernisée en 2006 dans le cadre du programme R.HY.AL. - Altitude = 259.46m NGF par Faber/Schaller en fevrier 2007 - Passage à l'heure TU le 10/11/2009;Lièpvre (68185);Lambert 93;2154;NA;259460;2021-12-24 10:28:00;1965-01-01 00:00:00;NA;Public without rating curve nor correction curve;360;360;Low or non-existent;NA;FALSE;Good;Good;Good;Low flow monitoring - Flood forecasting - Qualitative monitoring;NA;2022-07-13 13:28:00;A2340210;Direction Régionale de l'Environnement, de l'Aménagement et du Logement (DREAL) Grand Est;DREAL Grand Est;2027;967751.776449954;2375048.40911751;1018353;6805297;7.29261840516243;48.2701102810495;967713;2375049;1018314;6805298;7.2921;48.27014;106.6;260.0;Metropolitan France (mainland)
A251020001;L'Andlau à Andlau;NA;Standard station;FALSE;TRUE;A2512010;NA;NA;Côte du zéro d'échelle issue d'une fiche interne DIREN (SRAE) avec nivellement en NGF orthométrique. - Depuis le 26/10/2009, les horaires de cette station sont exprimés en temps universel (TU);Andlau (67010);Lambert 93;2154;NA;217470;2023-01-12 15:10:00;1973-10-01 00:00:00;NA;Public without rating curve nor correction curve;360;360;Low or non-existent;NA;FALSE;Good;Good;Good;Flood forecasting;NA;2023-01-12 15:10:00;A2510200;Direction Régionale de l'Environnement, de l'Aménagement et du Logement (DREAL) Grand Est;DREAL Grand Est;2027;976472.979486599;2388506.7043331;1027185;6818670;7.42154523701682;48.3858612726879;976513;2388549;1027225;6818712;7.42212;48.38622;42.2;218.0;Metropolitan France (mainland)
A270011001;La Bruche à Saulxures;NA;Standard station;FALSE;TRUE;A2702010;NA;NA;NA;Saulxures (67436);Lambert 93;2154;NA;NA;NA;1965-08-31 00:00:00;2001-01-08 11:00:00;Public;1440;1440;Low or non-existent;NA;FALSE;Good;Good;Good;Low flow monitoring - Flood forecasting - Qualitative monitoring;NA;2021-05-12 07:42:00;A2700110;Direction Régionale de l'Environnement, de l'Aménagement et du Logement (DREAL) Grand Est;DREAL Grand Est;2027;956611.164325109;2389290.10792153;1007344;6819625;7.15460858342387;48.4041308864343;956613;2389249;1007345;6819584;7.1546;48.40376;38.3;425.0;Metropolitan France (mainland)
A273011002;La Bruche à Russ [Wisches];NA;Standard station;FALSE;TRUE;A2732010;NA;NA;Station dénommée improprement Wisches avant 2002, car elle est située sur la commune de Russ. - Nouvelle station pour tenir compte des travaux d'amélioration apportés à la station initiale (mise en service en 1949) : travaux ayant pour objet principal de parfaire l'enregistrement des bas débits. - Depuis le 26/10/2009, les horaires de cette station sont exprimés en temps universel (TU);Russ (67420);Lambert 93;2154;NA;263180;2023-01-12 15:09:00;1962-08-12 00:00:00;NA;Public without rating curve nor correction curve;360;360;Low or non-existent;NA;FALSE;Good;Good;Good;Low flow monitoring - Flood forecasting;NA;2023-01-12 15:09:00;A2730110;Direction Régionale de l'Environnement, de l'Aménagement et du Logement (DREAL) Grand Est;DREAL Grand Est;2027;964796.783318502;2401010.98769198;1015625;6831267;7.27485096558235;48.5047367034044;964813;2401049;1015642;6831305;7.2751;48.50507;224.0;264.0;Metropolitan France (mainland)
A284020001;La Mossig à Soultz-les-Bains;NA;Standard station;FALSE;TRUE;A2842010;NA;NA;Depuis le 26/10/2009, les horaires de cette station sont exprimés en temps universel (TU);Soultz-les-Bains (67473);Lambert 93;2154;NA;167640;2023-01-12 15:13:00;1970-11-13 00:00:00;NA;Public without rating curve nor correction curve;360;360;Low or non-existent;NA;FALSE;Good;Good;Good;Low flow monitoring - Flood forecasting;NA;2023-01-12 15:13:00;A2840200;Direction Régionale de l'Environnement, de l'Aménagement et du Logement (DREAL) Grand Est;DREAL Grand Est;2027;980094.324371063;2409585.9552088;1030987;6839703;7.48895523983562;48.5728433961026;980113;2409549;1031005;6839666;7.48918;48.5725;167.0;171.0;Metropolitan France (mainland)
A330010001;La Moder à Schweighouse-sur-Moder [aval];NA;Standard station;FALSE;TRUE;A3301010;NA;NA;Mise en service d'un limnigraphe le 11/05/1966 (17h). - Depuis le 26/10/2009, les horaires de cette station sont exprimés en temps universel (TU);Schweighouse-sur-Moder (67458);Lambert 93;2154;NA;144290;2020-12-14 11:20:00;1966-05-11 00:00:00;NA;Public without rating curve nor correction curve;360;360;Low or non-existent;NA;FALSE;Good;Good;Good;Low flow monitoring - Flood forecasting;NA;2022-01-27 08:49:00;A3300100;Direction Régionale de l'Environnement, de l'Aménagement et du Logement (DREAL) Grand Est;DREAL Grand Est;2027;996868.550828626;2438539.36203563;1048001;6868490;7.74259349559945;48.8223880598724;996813;2438549;1047946;6868500;7.74185;48.82251;622.1;143.0;Metropolitan France (mainland)
A361011001;La Sauer à Gœrsdorf [Liebfrauenthal];NA;Standard station;FALSE;TRUE;A3712010;NA;NA;Mise en service d'un limnigraphe le 08/12/1966. Antérieurement, échelle limnimétrique seule, avec un seul relevé (lecture) par jour;Gœrsdorf (67160);Lambert 93;2154;NA;171000;2013-11-18 16:18:00;1948-01-22 00:00:00;2001-01-10 11:45:00;Public;1440;1440;Low or non-existent;NA;FALSE;Good;Good;Good;Low flow monitoring - Flood forecasting;NA;2021-05-12 07:42:00;A3610110;Direction Régionale de l'Environnement, de l'Aménagement et du Logement (DREAL) Grand Est;DREAL Grand Est;2027;996912.813005894;2453791.06801163;1048178;6883731;7.75749906666327;48.9591056719242;996913;2453749;1048178;6883689;7.75746;48.95873;192.1;176.0;Metropolitan France (mainland)
A369011001;La Sauer à Beinheim;NA;Standard station;FALSE;TRUE;A3792010;NA;NA;Station mise en service et exploitée jusqu'en 1980 par la 2e C.E. (Circonscription Electrique) Est de Dijon. - Reprise en gestion complète en 1981 par le S.R.A.E. (Service Régional d'Aménagement des Eaux) d'Alsace, devenu service de la DIREN Alsace/S.E.M.A. en 1991. - Depuis le 26/10/2009, les horaires de cette station sont exprimés en temps universel (TU);Beinheim (67025);Lambert 93;2154;NA;112277;2020-12-14 11:20:00;1964-10-23 00:00:00;NA;Public without rating curve nor correction curve;360;360;Low or non-existent;NA;FALSE;Good;Good;Good;Low flow monitoring - Flood forecasting;NA;2022-07-13 13:25:00;A3690110;Direction Régionale de l'Environnement, de l'Aménagement et du Logement (DREAL) Grand Est;DREAL Grand Est;2027;1020447.53352737;2444400.82636321;1071615;6874142;8.06849048766578;48.8599354930361;1020413;2444449;1071581;6874191;8.06807;48.86039;502.2;114.0;Metropolitan France (mainland)
A373020001;Le Seltzbach à Niederrœdern;NA;Standard station;FALSE;TRUE;A3832010;NA;NA;Station mise en service et exploitée jusqu'en 1981 par la 2e C.E. (Circonscription Electrique) Est de Dijon, puis reprise en gestion complète en 1982 par le S.R.A.E. (Service Régional d'Aménagement des Eaux) d'Alsace, devenu service de la DIREN Alsace/S.E.M.A. en 1991. -  - Nivellement du zéro de l'échelle limnimétrique établi le 23 juillet 2002 par le géomètre P.A Baur à Haguenau. Attention !! : la cote du zéro annoncée avant juillet 2002 est approximative.... Prendre contact avec le gestionnaire de la station pour valider la cote du zéro avant cette date. -  - Depuis le 26/10/2009, les horaires de cette station sont exprimés en temps universel (TU);Niederrœdern (67330);Lambert 93;2154;NA;120044;2013-11-18 16:18:00;1964-10-25 00:00:00;NA;Public without rating curve nor correction curve;360;360;Low or non-existent;NA;FALSE;Good;Good;Good;Low flow monitoring - Flood forecasting;NA;2022-07-13 13:24:00;A3730200;Direction Régionale de l'Environnement, de l'Aménagement et du Logement (DREAL) Grand Est;DREAL Grand Est;2027;1018641.96681658;2449140.28763963;1069852;6878894;8.04864867986262;48.9035975879296;1018613;2449149;1069823;6878903;8.04826;48.9037;204.1;120.4;Metropolitan France (mainland)
A380020001;La Lauter à Wissembourg [Weiler];NA;Standard station;FALSE;TRUE;A3902010;NA;NA;Nivellement du zéro de l'échelle limnimétrique établi le 23 juillet 2002 par le géomètre P.A Baur à Haguenau. - Attention : avant juillet 2002, il convient de vérifier auprès du gestionnaire de la station la validité de la cote du zéro de l'échelle;Wissembourg (67544);Lambert 93;2154;NA;166975;2020-12-14 11:20:00;1975-11-01 00:00:00;NA;Public without rating curve nor correction curve;360;360;Low or non-existent;NA;FALSE;Good;Good;Good;Low flow monitoring - Flood forecasting - Qualitative monitoring;NA;2022-07-13 13:18:00;A3800200;Direction Régionale de l'Environnement, de l'Aménagement et du Logement (DREAL) Grand Est;DREAL Grand Est;2027;1006888.46402005;2463894.692741;1058235;6893741;7.90305238796441;49.0434188637098;1006813;2463749;1058158;6893596;7.90188;49.04216;275.2;170.3;Metropolitan France (mainland)
A402061001;La Moselle à Fresse-sur-Moselle;NA;Standard station;FALSE;TRUE;A4020610;NA;NA;Depuis le 23/03/2007, les horaires sont en TU;Fresse-sur-Moselle (88188);Lambert 93;2154;NA;511600;2013-11-18 16:41:00;1971-10-01 00:00:00;NA;Public;1440;1440;Low or non-existent;NA;FALSE;Good;Good;Good;Low flow monitoring - Flood forecasting;NA;2021-01-19 13:40:00;A4020610;Direction Régionale de l'Environnement, de l'Aménagement et du Logement (DREAL) Grand Est;DREAL Grand Est;13001025900021;933507.048343703;2328077.56667608;983727;6758658;6.79628529429861;47.866921248486;933413;2328049;983633;6758631;6.79501;47.86672;70.2;518.0;Metropolitan France (mainland)
A405062001;La Moselle à Rupt-sur-Moselle;NA;Standard station;FALSE;TRUE;A4050620;NA;NA;Depuis le 23/03/2007, les horaires sont en TU;Rupt-sur-Moselle (88408);Lambert 93;2154;NA;432570;2013-11-18 16:41:00;1968-08-01 00:00:00;NA;Public;1440;1440;Low or non-existent;NA;FALSE;Good;Good;Good;Low flow monitoring - Flood forecasting;NA;2021-01-19 13:40:00;A4050620;Direction Régionale de l'Environnement, de l'Aménagement et du Logement (DREAL) Grand Est;DREAL Grand Est;13001025900021;925000.727488684;2332336.28283321;975264;6762987;6.68591844933677;47.9094445448926;925013;2332349;975276;6763000;6.68609;47.90956;151.7;440.0;Metropolitan France (mainland)
A414020202;La Moselotte à Vagney [Zainvillers] - Ancienne;Ancienne;Standard station;FALSE;TRUE;A4142010;NA;NA;La station a été déplacée 350m à l'amont;Vagney (88486);Lambert 93;2154;NA;406180;2013-11-18 16:41:00;1967-04-19 00:00:00;2006-12-16 00:00:00;Public;1440;1440;Low or non-existent;NA;FALSE;Good;Good;Good;Low flow monitoring - Flood forecasting;NA;2021-01-19 13:40:00;A4140202;Direction Régionale de l'Environnement, de l'Aménagement et du Logement (DREAL) Grand Est;DREAL Grand Est;13001025900021;926469.057152947;2342030.32998383;976815;6772661;6.71274298170345;47.995755266468;926513;2342049;976859;6772680;6.71334;47.9959;184.4;404.6;Metropolitan France (mainland)
A417301001;La Cleurie à Cleurie;NA;Standard station;FALSE;TRUE;A4173010;NA;NA;Horaires en TU;Cleurie (88109);Lambert 93;2154;NA;451300;2013-11-18 16:41:00;1970-08-01 00:00:00;NA;Public;1440;1440;Low or non-existent;NA;FALSE;Good;Good;Good;Low flow monitoring - Flood forecasting;NA;2021-05-12 07:51:00;A4173010;Direction Régionale de l'Environnement, de l'Aménagement et du Logement (DREAL) Grand Est;DREAL Grand Est;13001025900021;924440.224256053;2348313.52336772;974842;6778957;6.69026258291549;48.0531825145038;924413;2348249;974814;6778893;6.68985;48.05262;64.9;453.5;Metropolitan France (mainland)
A420063001;La Moselle à Saint-Nabord - Noirgueux;Noirgueux;Standard station;FALSE;TRUE;A4200630;NA;NA;Depuis le 23/03/2007, les horaires sont en TU;Saint-Nabord (88429);Lambert 93;2154;NA;371180;2019-10-24 12:41:00;1961-10-30 00:00:00;NA;Public;1440;1440;Low or non-existent;NA;FALSE;Good;Good;Good;Low flow monitoring - Flood forecasting;NA;2021-01-19 13:40:00;A4200630;Direction Régionale de l'Environnement, de l'Aménagement et du Logement (DREAL) Grand Est;DREAL Grand Est;13001025900021;918465.211566025;2349532.81242695;968882;6780227;6.61113057758565;48.0670774604682;918413;2349349;968828;6780044;6.6103;48.06546;626.9;362.3;Metropolitan France (mainland)
A433301001;Le Neune à Laveline-devant-Bruyères;NA;Standard station;FALSE;TRUE;A4333010;NA;NA;NA;Laveline-devant-Bruyères (88262);Lambert 93;2154;NA;442460;2013-11-18 16:41:00;1986-06-01 00:00:00;NA;Public;1440;1440;Low flows only;NA;FALSE;Uncertain;Good;Good;Low flow monitoring - Flood forecasting;Végétation;2021-01-19 13:40:00;A4333010;Direction Régionale de l'Environnement, de l'Aménagement et du Logement (DREAL) Grand Est;DREAL Grand Est;13001025900021;928194.920394565;2363248.0959156;978723;6793848;6.75178723669386;48.1853839711561;928113;2363249;978641;6793850;6.75069;48.18544;95.8;441.4;Metropolitan France (mainland)
A436203001;La Vologne à Cheniménil;NA;Standard station;FALSE;TRUE;A4362030;NA;NA;NA;Cheniménil (88101);Lambert 93;2154;NA;368000;2013-11-18 16:41:00;1988-03-24 00:00:00;NA;Public;1440;1440;Low or non-existent;NA;FALSE;Good;Good;Good;Low flow monitoring - Flood forecasting;NA;2021-01-19 13:40:00;A4362030;Direction Régionale de l'Environnement, de l'Aménagement et du Logement (DREAL) Grand Est;DREAL Grand Est;13001025900021;917491.629453057;2356809.83133354;967972;6787507;6.60338472432989;48.1328923304775;917513;2356849;967994;6787546;6.6037;48.13324;354.1;380.0;Metropolitan France (mainland)
A443064001;La Moselle à Épinal;NA;Standard station;FALSE;TRUE;A4250640;NA;NA;Depuis le 23/03/2007, les horaires sont en TU;Épinal (88160);Lambert 93;2154;NA;324270;2021-05-11 14:30:00;1951-10-31 00:00:00;NA;Public;1440;1440;Low or non-existent;NA;FALSE;Good;Good;Good;Low flow monitoring - Flood forecasting;Station dite 'à herbe';2021-05-12 07:52:00;A4430640;Direction Régionale de l'Environnement, de l'Aménagement et du Logement (DREAL) Grand Est;DREAL Grand Est;13001025900021;906119.925513946;2359852.91636883;956635;6790646;6.4529806333801;48.1656661935679;906113;2359849;956628;6790642;6.45289;48.16564;1218.2;323.5;Metropolitan France (mainland)
A511061001;La Moselle à Tonnoy;NA;Standard station;FALSE;TRUE;A5110610;NA;NA;Depuis le 23/03/2007, les horaires sont en TU. - Station associée à la station de Velle sur Moselle située à 500m à l'amont de la station de Tonnoy;Tonnoy (54527);Lambert 93;2154;NA;230520;2022-09-29 06:11:00;1980-08-20 00:00:00;NA;Public;1440;1440;Low or non-existent;NA;FALSE;Uncertain;Good;Good;Flood forecasting;NA;2022-09-29 06:11:00;A5110610;Direction Régionale de l'Environnement, de l'Aménagement et du Logement (DREAL) Grand Est;DREAL Grand Est;13001025900021;889741.543580363;2400270.93976763;940617;6831176;6.26021511930698;48.5361066683918;889713;2400449;940590;6831354;6.25995;48.53772;1976.5;228.4;Metropolitan France (mainland)
A524201001;La Gitte à Velotte-et-Tatignécourt;NA;Standard station;FALSE;TRUE;A5242010;NA;NA;Depuis le 23/03/2007, les horaires sont en TU;Velotte-et-Tatignécourt (88499);Lambert 93;2154;NA;272720;2013-11-18 16:41:00;1979-02-01 00:00:00;NA;Public;1440;1440;Low or non-existent;NA;FALSE;Good;Good;Good;Low flow monitoring - Flood forecasting;NA;2021-01-19 13:40:00;A5242010;Direction Régionale de l'Environnement, de l'Aménagement et du Logement (DREAL) Grand Est;DREAL Grand Est;13001025900021;884932.401805459;2369241.17945029;935544;6800210;6.17469452684565;48.2596077923004;884913;2369249;935525;6800218;6.17444;48.25969;114.6;271.0;Metropolitan France (mainland)
A526102003;Le Madon à Mirecourt - Ancienne;Ancienne;Standard station;FALSE;FALSE;A5261010;NA;NA;NA;Mirecourt (88304);Lambert 93;2154;NA;NA;NA;1965-08-01 00:00:00;2007-07-03 05:00:00;Public;1440;1440;Low or non-existent;NA;FALSE;Good;Good;Good;Low flow monitoring - Flood forecasting;NA;2021-01-19 13:40:00;A5261020;Direction Régionale de l'Environnement, de l'Aménagement et du Logement (DREAL) Grand Est;DREAL Grand Est;13001025900021;881915.62090102;2374185.80958352;932572;6805177;6.13733837552094;48.305330628012;881913;2374149;932569;6805141;6.13728;48.305;383.0;263.2;Metropolitan France (mainland)
A542201001;Le Brenon à Autrey;NA;Standard station;FALSE;TRUE;A5422010;NA;NA;NA;Autrey (54032);Lambert 93;2154;NA;NA;NA;1969-08-06 00:00:00;2007-06-13 09:00:00;Public;1440;1440;Low or non-existent;NA;FALSE;Good;Good;Good;Low flow monitoring - Flood forecasting;NA;2021-05-12 07:42:00;A5422010;Direction Régionale de l'Environnement, de l'Aménagement et du Logement (DREAL) Grand Est;DREAL Grand Est;13001025900021;880870.268683749;2399225.78313325;931743;6830208;6.13958568366526;48.5306400752155;880913;2399249;931786;6830231;6.14018;48.53083;146.1;225.5;Metropolitan France (mainland)
A543101001;Le Madon à Pulligny;NA;Standard station;FALSE;TRUE;A5431010;NA;NA;Depuis le 23/03/2007, les horaires sont en TU;Pulligny (54437);Lambert 93;2154;NA;225000;2013-11-18 16:41:00;1964-01-01 00:00:00;NA;Public;1440;1440;Low or non-existent;NA;FALSE;Good;Good;Good;Low flow monitoring - Flood forecasting;Station à herbe;2021-05-12 07:54:00;A5431010;Direction Régionale de l'Environnement, de l'Aménagement et du Logement (DREAL) Grand Est;DREAL Grand Est;13001025900021;880197.962215796;2400832.13051403;931085;6831819;6.13154575963945;48.5453556196989;880213;2400749;931099;6831736;6.13169;48.54461;948.1;223.2;Metropolitan France (mainland)
