sta_code_h3;top_altitude_mean;top_slo_mean;top_dist_outlet_mean;top_itopo_mean;top_slo_ori_n;top_slo_ori_ne;top_slo_ori_e;top_slo_ori_se;top_slo_ori_s;top_slo_ori_sw;top_slo_ori_w;top_slo_ori_nw;top_drainage_density;top_mor_form_factor_horton;top_mor_form_factor_square;top_mor_shape_factor;top_mor_compact_coef;top_mor_circ_ratio;top_mor_elong_ratio_circ;top_mor_elong_ratio_catchment;top_mor_relief_ratio;top_slo_flat;top_slo_gentle;top_slo_moderate;top_slo_strong;top_slo_steep;top_slo_very_steep
A330010001;266;7.37;26.35;13.6;13.197;11.805;11.215;16.307;15.654;10.469;9.607;11.747;0.52952;0.3449;0.3341;2.8992;1.9521;0.2624;0.6627;0.5873;0.0102;13.629;33.443;18.552;25.671;8.595;0.109
A361011001;322;10.8;17.1;12;11.422;8.996;11.031;16.825;12.546;9.443;13.567;16.17;0.28539;0.1769;0.2875;5.6521;2.1046;0.2258;0.4746;0.4206;0.0116;4.696;19.663;20.152;34.598;20.6;0.292
A369011001;223;5.32;33.45;14.3;12.141;11.414;12.159;16.17;15.915;10.484;10.377;11.339;0.54923;0.1093;0.1467;9.1459;2.9457;0.1152;0.3731;0.3307;0.0066;41.241;26.069;9.979;14.236;8.364;0.112
A373020001;187;3.36;14.61;13.2;9.388;13.929;15.292;17.487;17.57;12.161;7.629;6.546;0.44549;0.3031;0.3471;3.2994;1.9153;0.2726;0.6212;0.5505;0.0158;28.687;56.193;9.329;4.625;1.166;0
A380020001;327;10.91;21.93;12.5;13.253;9.252;11.571;15.626;13.577;9.183;11.08;16.458;0.02311;0.1375;0.2259;7.274;2.374;0.1774;0.4184;0.3708;0.0099;4.55;17.058;19.137;39.2;19.94;0.116
A402061001;839;18.14;8.51;10.2;13.793;11.513;8.036;13.836;10.074;10.245;14.406;18.096;0.88535;0.309;0.3851;3.236;1.8184;0.3024;0.6273;0.5559;0.0483;1.382;4.702;5.728;28.655;55.785;3.748
A405062001;753;15.24;14.46;11.2;13.396;9.658;7.403;15.024;12.895;12.044;12.901;16.679;0.7797;0.2076;0.3575;4.8165;1.8873;0.2807;0.5141;0.4557;0.0299;2.894;8.761;9.44;35.065;42.007;1.833
A414020202;828;15.11;18.1;11.3;12.703;8.158;7.713;14.932;13.646;10.528;12.339;19.982;0.68547;0.1472;0.3148;6.7931;2.0111;0.2473;0.4329;0.3837;0.0265;1.931;6.221;9.904;40.777;40.126;1.041
A417301001;728;10.66;8.68;10.7;16.482;10.315;5.843;10.237;16.435;13.676;12.858;14.154;0.67528;0.249;0.3694;4.0163;1.8564;0.2902;0.563;0.499;0.0342;3.562;15.742;20.937;43.555;16.204;0
A420063001;721;13.3;31.69;12.8;13.713;10.277;8.41;12.613;13.793;11.64;12.605;16.95;0.72976;0.1932;0.2622;5.1753;2.2037;0.2059;0.496;0.4396;0.0172;5.608;10.876;12.512;37.56;32.55;0.893
A433301001;613;7.51;12.49;11.6;18.258;14.168;8.117;7.063;8.837;13.312;13.166;17.079;0.65109;0.1488;0.3356;6.7203;1.9478;0.2636;0.4353;0.3857;0.0249;12.76;29.108;23.203;26.813;7.992;0.125
A436203001;646;8.9;23.69;12.7;15.907;15.082;8.295;7.595;10.21;13.978;13.54;15.393;0.64475;0.1709;0.2478;5.8497;2.2668;0.1946;0.4665;0.4135;0.0205;9.179;23.855;21.787;33.616;10.933;0.63
A443064001;650;10.6;44.3;13.8;14.608;12.361;9.016;10.74;11.871;12.217;13.055;16.132;0.64551;0.1844;0.3174;5.423;2.0028;0.2493;0.4845;0.4294;0.0125;8.458;20.054;17.068;33.162;20.61;0.648
A511061001;528;7.64;79.12;14.8;14.434;13.164;10.254;11.013;11.315;11.404;12.905;15.51;0.61454;0.0998;0.2129;10.0201;2.4454;0.1672;0.3565;0.3159;0.0079;18.611;32.259;14.458;21.543;12.729;0.399
A524201001;346;3.88;10.22;12.3;12.665;12.97;10.631;11.644;12.185;11.513;14.533;13.861;0.45942;0.3114;0.4158;3.2109;1.75;0.3265;0.6297;0.5581;0.0095;19.15;56.263;17.413;7.166;0.009;0
A526102003;343;3.66;20.29;13.6;14.857;14.862;11.922;12.844;11.413;10.703;10.849;12.549;0.48134;0.291;0.4298;3.4368;1.7211;0.3376;0.6087;0.5394;0.0057;21.327;56.64;16.56;5.431;0.042;0
A542201001;339;4.03;16.14;12.7;14.818;16.248;15.468;12.525;8.254;7.905;10.513;14.27;0.5011;0.2148;0.2835;4.6552;2.119;0.2227;0.523;0.4635;0.0116;29.574;45.281;12.833;11.245;1.068;0
A543101001;328;3.62;45.78;14.6;14.814;14.81;12.507;12.667;10.909;10.531;10.69;13.072;0.50114;0.1366;0.2981;7.3187;2.0668;0.2341;0.4171;0.3696;0.0037;27.043;50.573;15.569;6.592;0.224;0
A550061001;454;6.2;79.83;15.4;14.503;13.667;11.005;11.53;11.236;11.141;12.209;14.709;0.57096;0.1224;0.2083;8.1725;2.4726;0.1636;0.3947;0.3498;0.0071;21.928;38.488;14.767;16.301;8.259;0.257
A605102001;641;10.93;17.96;12.5;15.386;10.802;8.857;9.545;10.902;12.194;13.84;18.472;0.55791;0.2673;0.3178;3.7415;2.0015;0.2496;0.5834;0.517;0.0258;8.62;15.739;17.879;36.88;20.021;0.861
A615103001;565;10.2;27.43;13.3;15.483;10.937;8.825;10.413;11.688;12.165;12.811;17.678;0.58248;0.2257;0.2674;4.4309;2.1823;0.21;0.5361;0.4751;0.018;8.202;21.111;19.708;31.974;18.334;0.67
A662121202;483;9.42;12.99;11.3;13.775;11.833;9.647;10.4;11.386;12.087;13.744;17.129;0.60683;0.1762;0.2828;5.6763;2.1218;0.2221;0.4736;0.4197;0.0165;4.066;22.497;24.072;36.78;12.555;0.03
A673122001;361;4.5;29.96;13.8;14.614;11.561;9.796;11.133;11.306;10.819;13.697;17.074;0.61033;0.1552;0.2648;6.4433;2.193;0.2079;0.4445;0.394;0.0084;24.328;47.11;15.062;10.845;2.649;0.006
A712201001;270;2.5;23.55;13.6;11.88;9.586;9.521;15.853;18.783;12.547;9.569;12.262;0.41861;0.1327;0.2961;7.5345;2.0736;0.2326;0.4111;0.3643;0.0049;44.941;45.867;6.254;2.855;0.083;0
A764201001;249;3.4;12.65;12.8;10.265;10.106;13.076;17.642;15.694;8.282;9.643;15.293;0.57451;0.3083;0.4096;3.2437;1.7631;0.3217;0.6265;0.5552;0.008;28.3;51.654;14.741;5.298;0.007;0
A788101001;234;2.76;81.98;15.2;13.173;11.69;11.502;13.379;12.81;10.702;11.931;14.813;0.54284;0.0696;0.2293;14.3751;2.3566;0.1801;0.2976;0.2638;0.0019;38.214;49.271;9.702;2.798;0.014;0
A807101001;232;1.87;24.97;14.6;15.335;12.697;12.219;15.842;15.301;10.463;7.768;10.374;0.50558;0.2039;0.3779;4.9041;1.8356;0.2968;0.5095;0.4516;0.0048;63.724;30.677;3.744;1.705;0.15;0
A843101001;246;2.32;43.29;15.5;13.451;12.018;11.808;15.15;14.085;10.251;10.368;12.869;0.5349;0.2105;0.2893;4.7502;2.0977;0.2272;0.5177;0.4588;0.0032;55.41;36.099;4.806;3.045;0.64;0
A850061001;342;4.57;145.39;17;13.992;12.122;10.956;12.466;12.195;10.898;12.132;15.237;0.52417;0.1238;0.1968;8.0779;2.5436;0.1546;0.397;0.3518;0.004;32.555;40.299;11.768;10.808;4.436;0.135
A901305050;503;12.33;9.94;10.8;16.661;13.465;9.79;5.635;9.979;14.445;14.389;15.636;0.54117;0.227;0.433;4.406;1.7148;0.3401;0.5376;0.4764;0.0354;1.715;9.778;16.661;49.46;22.163;0.223
A907105050;329;4.69;31.9;14.3;13.472;12.756;11.071;10.378;10.534;12.192;14.187;15.41;0.48394;0.1937;0.3067;5.1616;2.0375;0.2409;0.4967;0.4402;0.0124;25.992;47.573;10.985;11.019;4.388;0.044
A926000101;307;5.44;19.13;12.9;10.545;9.929;10.645;13.33;12.392;10.953;16.089;16.118;0.5198;0.2279;0.3963;4.3872;1.7923;0.3113;0.5387;0.4774;0.0064;12.768;47.036;20.979;17.353;1.865;0
A931108050;292;3.93;54.49;15.3;12.825;11.851;10.953;12.098;12.118;11.448;13.735;14.971;0.50837;0.1485;0.248;6.7345;2.2658;0.1948;0.4348;0.3853;0.0072;27.589;51.34;11.154;7.762;2.137;0.018
A932215050;331;6.75;8.81;11.8;13.64;12.161;12.416;14.374;11.703;8.458;11.703;15.544;0.39267;0.3411;0.4095;2.9318;1.7633;0.3216;0.659;0.584;0.0112;13.001;34.78;21.598;25.588;5.032;0
A975201001;259;2.86;35.16;14.2;13.004;12.361;10.821;13.168;13.798;10.389;11.833;14.626;0.4594;0.1353;0.2448;7.3924;2.2808;0.1922;0.415;0.3678;0.0032;34.246;52.994;10.259;2.496;0.006;0
A983201001;277;2.38;14.2;13.4;12.552;12.078;12.428;15.341;16.047;10.947;9.009;11.599;0.3908;0.3412;0.3377;2.9309;1.9417;0.2652;0.6591;0.5841;0.0075;41.947;51.074;6.311;0.668;0;0
A986201001;282;2.91;30.76;13.9;11.842;11.226;11.346;14.776;15.555;11.327;10.633;13.295;0.46922;0.1366;0.2956;7.3184;2.0753;0.2322;0.4171;0.3697;0.0041;32.391;55.005;10.186;2.376;0.041;0
A994202002;266;2.99;49.87;15.1;12.683;11.868;11.125;13.41;13.497;10.711;12.007;14.698;0.46327;0.1495;0.2425;6.6898;2.2912;0.1905;0.4363;0.3866;0.0024;31.741;54.067;11.161;3.008;0.023;0
B022001001;372;3.14;24.87;13.9;13.966;12.514;12.049;11.427;10.974;9.817;13.07;16.182;0.50244;0.181;0.2818;5.5236;2.1257;0.2213;0.4801;0.4255;0.0046;44.821;36.691;10.423;7.921;0.144;0
B109201001;378;4.08;27.71;13.7;13.125;13.327;13.22;10.015;9.532;11.703;14.033;15.044;0.55971;0.1426;0.4149;7.0133;1.7518;0.3258;0.4261;0.3776;0.0042;28.484;44.191;14.369;12.562;0.394;0
B115001001;370;3.64;44.44;14.8;13.96;12.195;12.858;11.986;9.855;9.625;12.825;16.696;0.47941;0.1727;0.2803;5.789;2.1312;0.2202;0.469;0.4156;0.0032;35.856;41.277;12.075;10.404;0.388;0
B128201001;367;3.49;30.63;13.9;13.901;12.932;11.59;10.429;10.909;11.108;13.227;15.904;0.50531;0.1519;0.2925;6.5847;2.0863;0.2298;0.4397;0.3897;0.004;27.403;52.528;13.411;6.515;0.143;0
B134001001;363;3.66;65.09;15.3;14.018;12.265;12.549;11.894;10.26;9.674;12.72;16.619;0.46897;0.152;0.2536;6.5784;2.2405;0.1992;0.4399;0.3899;0.0025;32.684;44.298;13.351;9.324;0.343;0
B222001001;350;3.75;103.74;15.6;13.894;11.586;11.962;12.259;11.135;9.677;12.681;16.806;0.42118;0.0881;0.1931;11.3568;2.5675;0.1517;0.3348;0.2967;0.0018;30.101;45.546;14.841;9.188;0.324;0
B315002001;319;3.92;169.96;16;13.805;11.048;11.193;12.872;12.008;9.876;12.289;16.91;0.40216;0.046;0.1182;21.7348;3.2814;0.0929;0.242;0.2145;0.0012;27.132;46.09;17.443;8.986;0.349;0
B403101001;337;4.03;22.92;13.4;11.222;9.441;9.986;14.297;16.219;12.962;12.832;13.042;0.13821;0.1956;0.219;5.1137;2.4112;0.172;0.499;0.4422;0.0066;29.096;46.913;12.052;9.979;1.961;0
B413201001;339;2.89;13.24;13.3;9.917;7.848;7.264;11.014;16.61;16.465;17.524;13.358;0.27072;0.2799;0.3895;3.5729;1.8081;0.3059;0.597;0.529;0.0078;38.846;48.048;7.96;5.031;0.116;0
B422431001;298;4.51;19.24;13.3;12.204;9.483;10.323;14.495;16.704;12.771;11.95;12.069;0.03211;0.2921;0.3051;3.4232;2.0429;0.2396;0.6099;0.5405;0.0068;19.052;46.463;22.567;11.596;0.322;0
B457201001;237;3.03;29.56;14;14.541;13.667;12.101;11.668;14.028;11.287;10.36;12.348;0.46204;0.1188;0.3098;8.4145;2.0272;0.2433;0.389;0.3447;0.004;43.042;40.513;10.69;5.07;0.685;0
B460101001;286;3.71;52.01;15.3;11.507;10.255;10.155;12.721;16.191;13.72;12.987;12.463;0.3215;0.2075;0.2826;4.819;2.1225;0.222;0.514;0.4555;0.0034;31.954;44.694;14.181;8.385;0.786;0
B463101001;282;3.82;71.17;15.4;11.223;10.275;10.239;12.657;16.079;14.064;13.072;12.392;0.33082;0.1427;0.2732;7.0097;2.1589;0.2145;0.4262;0.3777;0.0027;29.8;45.409;15.431;8.669;0.69;0
B532201001;226;4.28;15.07;12.4;11.398;12.185;12.241;12.964;14.986;15.5;11.479;9.247;0.41407;0.1699;0.2994;5.8864;2.0623;0.2351;0.4651;0.4122;0.0068;16.76;55.683;16.784;10.419;0.353;0
B611101001;386;4.55;121.26;15;10.193;9.898;12.117;14.63;15.399;13.64;12.555;11.568;0.02556;0.0389;0.1915;25.7388;2.5783;0.1504;0.2224;0.1971;0.0023;21.382;49.469;16.32;10.355;2.445;0.028
B720000002;300;4.14;236.75;17;12.419;10.622;11.083;13.122;14.257;12.109;12.301;14.087;0.34686;0.0455;0.0953;21.9684;3.6557;0.0748;0.2407;0.2134;0.001;25.595;46.781;16.966;9.553;1.079;0.027
D020601001;190;2.09;11.88;12.9;20.529;10.377;7.057;8.999;14.27;9.415;10.594;18.76;0.16308;0.2315;0.381;4.3189;1.8281;0.2992;0.543;0.4812;0.0054;46.294;49.926;3.39;0.39;0;0
E172751001;116;1.45;18.31;13.7;18.938;16.624;8.168;2.568;8.833;16.752;14.571;13.547;0.18502;0.1725;0.2577;5.798;2.2227;0.2024;0.4686;0.4153;0.0049;69.516;29.94;0.544;0;0;0
E334602001;51;1.16;5.56;12.4;16.858;17.431;17.31;12.847;8.293;5.76;8.504;12.998;0.43487;0.3013;0.4872;3.3185;1.6166;0.3826;0.6194;0.5489;0.0074;80.85;17.793;1.357;0;0;0
E403571001;135;2.99;26.83;13.8;17.129;14.187;12.619;16.406;15.579;8.101;6.081;9.899;0.18118;0.1258;0.3521;7.9462;1.9017;0.2765;0.4003;0.3547;0.0035;32.989;53.338;9.779;3.813;0.082;0
E430601001;122;3.89;10.07;12.4;18.521;15.21;15.728;14.072;8.579;4.6;7.525;15.765;0.11628;0.3123;0.4425;3.202;1.6963;0.3475;0.6306;0.5588;0.0102;29.856;43.533;15.812;10.563;0.235;0
E520571001;70;3.06;10.94;12.1;19.853;11.846;6.672;6.563;13.222;10.349;13.385;18.11;0.53453;0.1935;0.3077;5.1671;2.0343;0.2416;0.4964;0.4399;0.0105;30.515;54.711;12.704;2.056;0.014;0
E530021001;93;3.44;10.02;12.4;16.15;10.679;8.094;10.65;13.39;15.392;12.555;13.089;0.5424;0.2937;0.3921;3.4053;1.8019;0.308;0.6115;0.5419;0.0101;24.934;57.643;12.03;5.082;0.311;0
E540031001;110;2.48;37.73;14.9;14.281;10.534;9.234;14.346;14.992;10.56;10.813;15.241;0.16448;0.1959;0.3485;5.1051;1.9113;0.2737;0.4994;0.4426;0.0028;46.286;42.971;8.406;2.336;0.001;0
E540651001;119;2.29;26.11;14;12.76;10.363;9.657;13.851;16.104;11.272;11.678;14.315;0.11844;0.1615;0.2844;6.1921;2.1158;0.2234;0.4535;0.4019;0.0038;48.163;43.882;6.603;1.352;0;0
E550572001;115;2.35;39.23;14.8;14.54;11.288;9.579;13.747;14.565;10.665;10.679;14.936;0.14244;0.1557;0.2576;6.424;2.2233;0.2023;0.4452;0.3945;0.0024;52.148;37.263;8.565;2.009;0.015;0
E639701001;111;2.41;10.85;12.8;8.906;9.041;10.883;16.003;22.332;10.41;10.308;12.117;0.02626;0.2323;0.3331;4.3042;1.9552;0.2616;0.5439;0.482;0.0052;37.254;57.144;4.656;0.946;0;0
E645651001;110;2.21;18.44;13.8;10.428;8.028;9.112;15.302;19.684;11.97;11.793;13.682;0.0817;0.2417;0.3425;4.1376;1.9282;0.269;0.5547;0.4916;0.0047;53.861;37.619;6.985;1.516;0.018;0
F352000201;176;3.39;14.41;12.7;14.588;15.404;20.364;12.992;5.642;6.054;10.954;14.003;0.30927;0.1753;0.3027;5.7032;2.0511;0.2377;0.4725;0.4187;0.0085;29.617;49.667;15.172;5.544;0;0
F415000101;232;2.46;27.81;14.4;13.754;13.97;12.213;7.958;9.361;12.855;15.169;14.72;0.2939;0.2281;0.3051;4.3846;2.043;0.2396;0.5389;0.4776;0.005;39.916;52.307;6.99;0.787;0;0
F416000201;209;2.22;44.14;15;13.275;12.87;12.397;8.772;10.016;12.809;15.601;14.261;0.28895;0.1459;0.2011;6.853;2.5162;0.1579;0.431;0.382;0.0036;47.675;45.772;5.713;0.84;0;0
F439000101;148;1.46;72.44;17.1;14.012;12.203;11.69;10.966;11.501;11.71;13.856;14.063;0.27511;0.1913;0.2477;5.2275;2.2673;0.1945;0.4935;0.4374;0.0023;71.011;25.948;2.686;0.356;0;0
F453000101;117;1.21;46.43;15.8;14.099;11.425;12.586;15.032;13.208;9.776;10.204;13.67;0.17351;0.1297;0.1725;7.7076;2.7166;0.1355;0.4064;0.3602;0.0015;81.149;15.652;2.505;0.694;0;0
F462000101;147;2.2;11.31;13.4;14.619;15.591;12.478;13.673;14.993;13.016;7.874;7.756;0.29789;0.2914;0.3924;3.4319;1.8014;0.3082;0.6091;0.5398;0.0046;53.129;37.44;8.13;1.3;0;0
F466000101;153;2.85;21.3;13.9;18.987;18.399;11.814;9.107;15.282;11.074;6.763;8.575;0.39015;0.1287;0.1977;7.7701;2.5376;0.1553;0.4048;0.3587;0.0035;56.594;24.656;9.794;8.583;0.372;0
F467000101;133;2.36;30.04;15.3;15.946;15.492;12.524;13.281;15.277;10.379;7.549;9.553;0.33551;0.3168;0.2221;3.1561;2.3941;0.1745;0.6352;0.5629;0.0031;56.786;30.371;8.846;3.896;0.101;0
F474000102;126;1.14;22.23;15;15.878;11.515;8.415;9.734;14.098;13.912;12.404;14.044;0.39215;0.2312;0.2698;4.3258;2.1725;0.2119;0.5425;0.4808;0.0025;79.242;20.416;0.343;0;0;0
G111041010;150;3.58;21.28;13.4;15.984;16.502;14.135;7.766;6.156;11.027;13.663;14.767;0.14226;0.1394;0.237;7.1733;2.3178;0.1861;0.4213;0.3734;0.0056;38.441;38.353;13.279;9.607;0.32;0
G206021010;143;4;28.83;13.4;13.418;14.33;10.351;9.654;11.614;16.876;12.178;11.579;0.35566;0.1194;0.2121;8.3763;2.4499;0.1666;0.3899;0.3455;0.0048;24.245;49.919;16.485;8.886;0.466;0
G600061010;125;1.92;22.89;14.3;17.107;14.226;10.438;9.283;11.248;12.224;12.1;13.373;0.05247;0.2325;0.3083;4.3019;2.0322;0.2421;0.544;0.4821;0.0044;64.238;29.809;3.593;2.148;0.212;0
H010001001;404;4.3;23.22;13.5;13.1;12.773;11.511;7.422;10.227;14.029;16.023;14.916;0.33131;0.1677;0.246;5.9642;2.275;0.1932;0.462;0.4095;0.0061;20.079;50.327;18.766;10.27;0.557;0
H010002001;346;3.68;46.24;14.3;14.706;12.309;10.847;7.899;9.891;12.127;15.353;16.869;0.27254;0.0883;0.1871;11.3246;2.6086;0.147;0.3353;0.2972;0.004;31.115;45.466;14.754;8.28;0.385;0
H020302002;305;2.38;36.09;14.7;15.631;13.332;10.975;9.307;9.484;10.596;13.684;16.991;0.16122;0.094;0.2033;10.6341;2.5026;0.1597;0.346;0.3067;0.0037;48.097;42.581;7.142;2.152;0.028;0
H030101001;413;5.44;15.25;12.4;14.103;11.811;11.437;8.973;10.823;12.931;15.252;14.671;0.33522;0.2292;0.3469;4.3632;1.9157;0.2725;0.5402;0.4787;0.0086;12.638;40.591;28.073;18.279;0.419;0
H032103001;356;4.46;37.62;13.8;14.326;12.105;11.579;9.056;9.861;11.737;14.896;16.439;0.28647;0.1233;0.2119;8.1095;2.4514;0.1664;0.3962;0.3512;0.0048;22.373;43.37;21.669;12.324;0.264;0
H050301001;170;1.9;19.18;14;14.595;14.233;14.977;10.718;7.987;6.898;12.705;17.885;0.43213;0.1145;0.1956;8.73;2.5511;0.1537;0.3819;0.3384;0.0053;55.168;40.593;3.181;1.038;0.02;0
H070201001;189;2.13;18.35;13.6;14.191;10.088;8.434;9.185;8.535;10.059;17.986;21.523;0.32927;0.2341;0.3947;4.2711;1.7961;0.31;0.546;0.4839;0.0066;45.448;50.504;3.913;0.135;0;0
H120101001;323;4.04;47.35;14.8;15.01;12.288;10.808;9.058;10.518;11.53;14.067;16.722;0.27616;0.1503;0.3164;6.6543;2.0062;0.2485;0.4374;0.3877;0.0039;27.793;44.344;16.607;10.73;0.526;0
H200102001;589;8.26;10.73;11.4;12.926;13.303;9.553;6.897;10.081;16.252;15.668;15.319;0.43816;0.2521;0.3694;3.9671;1.8565;0.2902;0.5665;0.5021;0.0282;2.902;21.283;31.958;40.833;3.024;0
H201301001;610;7.78;8.4;10.9;16.118;11.837;6.19;7.277;12.875;17.929;14.768;13.006;0.34987;0.2548;0.4048;3.9248;1.7736;0.3179;0.5696;0.5048;0.0294;3.655;26.062;31.544;35.677;3.062;0
H206201001;254;3.99;18.99;13.3;11.211;14.387;15.228;11.415;8.307;8.61;16.25;14.592;0.35095;0.229;0.3937;4.3665;1.7983;0.3092;0.54;0.4786;0.0073;24.606;49.648;15.928;9.356;0.462;0
H207311001;272;3.87;10.29;12.2;12.167;11.318;16.908;14.727;8.976;7.978;14.004;13.923;0.2394;0.2537;0.3722;3.9412;1.8496;0.2923;0.5684;0.5037;0.0118;21.051;54.683;17.091;6.91;0.264;0
H208311001;246;3;16.65;13.1;12.274;12.086;13.792;16.198;14.324;11.115;9.951;10.259;0.05012;0.2312;0.4107;4.3253;1.7607;0.3226;0.5426;0.4808;0.0081;28.795;57.715;11.512;1.946;0.031;0
H226000201;107;3.01;9.79;12.5;10.362;15.075;13.884;13.055;16.265;12.596;10.947;7.815;0.17856;0.3031;0.4294;3.2998;1.722;0.3372;0.6212;0.5505;0.0103;34.55;48.541;14.079;2.83;0;0
H232201001;430;3.42;19.42;13.4;10.913;15.128;16.422;10.276;7.463;10.377;15.942;13.478;0.28504;0.2617;0.3658;3.8211;1.8657;0.2873;0.5772;0.5116;0.0092;33.606;44.853;14.303;7.148;0.09;0
H234202001;309;3.23;67.69;14.9;14.31;13.499;12.613;10.755;9.167;10.348;13.539;15.769;0.29844;0.0572;0.176;17.4783;2.69;0.1382;0.2699;0.2392;0.0034;33.808;48.014;12.667;5.4;0.11;0
H247301001;188;2.5;20.84;14.3;13.313;12.711;10.999;10.124;10.363;12.191;14.788;15.512;0.34718;0.3098;0.2747;3.2275;2.1527;0.2158;0.6281;0.5566;0.0063;41.341;49.876;6.496;2.27;0.017;0
H248201001;281;3.84;94.95;15.8;13.586;12.756;11.878;10.008;10.497;12.117;13.939;15.218;0.33159;0.0887;0.1785;11.2781;2.6707;0.1402;0.336;0.2978;0.0028;32.757;42.805;12.597;11.224;0.617;0
H303000201;147;2.73;5.61;11.5;19.227;22.471;17.134;10.528;5.721;4.07;7.638;13.211;0;0.294;0.4095;3.4016;1.7633;0.3216;0.6118;0.5422;0.0114;37.659;49.189;10.439;2.713;0;0
H305000101;132;2.29;12.7;13.6;18.069;20.159;12.898;9.308;10.781;9.433;8.561;10.79;0.24245;0.5005;0.316;1.9981;2.0072;0.2482;0.7983;0.7074;0.0083;52.171;38.13;7.144;2.541;0.014;0
H311041010;148;2.55;16.95;13.5;8.502;11.974;11.311;12.181;15.503;18.514;12.707;9.308;0.39967;0.1936;0.3466;5.1663;1.9166;0.2722;0.4964;0.44;0.0045;35.741;56.364;6.697;1.198;0;0
